Subj,Surround,StimName,Win_LElow,Avg_LElow,Los_LElow,Win_LEhigh,Avg_LEhigh,Los_LEhigh
S1,MS,G1,0.0353553390593274,0.26809513236909,0.546580277726886,0.0547722557505167,0.295592625077149,0.572712842531054
S1,MS,G5,0.0894427190999915,0.273632965850243,0.545893762558247,0.0524404424085076,0.270878201411631,0.547950727711899
S1,MS,Noise,0.0594243216200236,0.261187193407334,0.537732507851255,0.0570087712549569,0.264220551812307,0.540948241516691
S1,MS,Natural,0.10434983894999,0.229703915702125,0.500888100166982,0.097182531580755,0.250138850330061,0.521482928238734
S1,LS,G1,0.0418330013267038,0.291333142639144,0.569429539100318,0.0418330013267037,0.257147817412476,0.535490429419612
S1,LS,G5,0.0612372435695794,0.263391343821318,0.539675828623073,0.0591607978309963,0.248243831746128,0.525357021462548
S1,LS,Noise,0.0603375919307359,0.239563404968288,0.517098274025354,0.0628738816997965,0.241512163254773,0.518606907975588
S1,LS,Natural,0.0567646212197546,0.251854234738183,0.529045261663772,0.0497214463005877,0.260154868406408,0.537716364721113
S1,HS,G1,0.396547601177967,0.177834192437787,0.249499498997493,0.533385414123783,0.316425346645935,0.268328157299975
S1,HS,G5,0.462871472441325,0.193326149291812,0.129421791055448,0.454422710700071,0.217082933460924,0.20976176963403
S1,HS,Noise,0.118321595661992,0.177482393492988,0.453045251602972,0.152171777935332,0.138180136054355,0.413861389839642
S1,HS,Natural,0.131972219298861,0.18405162319306,0.454514392878084,0.142789666604026,0.187564803616125,0.454116969758037
S2,MS,G1,0.0741619848709566,0.259566947048348,0.534322000295702,0.153297097167559,0.345144897108446,0.609097693313642
S2,MS,G5,0.0447213595499959,0.285263036511918,0.56302753041037,0.104880884817015,0.197800404448525,0.472757866142912
S2,MS,Noise,0.117593048263917,0.264722732306842,0.531580779374123,0.0586301969977929,0.305675481515937,0.582827161343738
S2,MS,Natural,0.0853098926137982,0.266119229753215,0.539083584531296,0.0605530070819498,0.288169510300217,0.564505683467108
S2,LS,G1,0.0223606797749979,0.273632965850243,0.552720544217419,0.0570087712549569,0.250249875124844,0.527494075796117
S2,LS,G5,0.0418330013267038,0.291333142639144,0.569429539100318,0.088034084308295,0.263865496039175,0.536423340282654
S2,LS,Noise,0.0754155156449917,0.236643191323985,0.512408528422391,0.047925723781702,0.275765978684826,0.553215035045144
S2,LS,Natural,0.0938379217350616,0.226966713173736,0.500471999438752,0.0641179468722378,0.286768392803515,0.56268206929945
S2,HS,G1,0.292831009286926,0.112361025271221,0.309434968935316,0.306186217847897,0.0829156197588851,0.276134025429682
S2,HS,G5,0.427784992724149,0.202792997906732,0.235584379787795,0.472228758124704,0.211837201643149,0.151657508881031
S2,HS,Noise,0.212904027674443,0.106139648576769,0.365312366338727,0.119045684508091,0.193123988670491,0.465480262739464
S2,HS,Natural,0.187379590967403,0.141077205025397,0.40117881853912,0.0899073597284078,0.21104896746174,0.487083155118302
S3,MS,G1,0.0353553390593273,0.26809513236909,0.546580277726886,0.0447213595499957,0.267161000147851,0.544977063737549
S3,MS,G5,0.0758287544405155,0.229401394939089,0.505717312339611,0.0724568837309472,0.241609188566991,0.51744564931981
S3,MS,Noise,0.0467707173346742,0.264575131106459,0.542275299087096,0.0582290734942606,0.23707198273942,0.515039440237347
S3,MS,Natural,0.0570087712549568,0.246897414594267,0.524324962849059,0.0596284793999944,0.251688740753778,0.528572501071413
S3,LS,G1,0.0418330013267037,0.282621655221252,0.560580056726958,0.159687194226713,0.266692707061892,0.522494019104525
S3,LS,G5,0.0836660026534076,0.21242645786248,0.489387372129686,0.0836660026534076,0.260048072478917,0.533385414123783
S3,LS,Noise,0.0464354390525168,0.248684036480028,0.527049570723665,0.0754155156449918,0.228582589013249,0.505037127348079
S3,LS,Natural,0.0703167436990965,0.259299269399494,0.534581871912786,0.0614636297152859,0.232349114719878,0.51033757890679
S3,HS,G1,0.103682206766639,0.209463600656534,0.48295962564173,0.196850196850295,0.119895788082818,0.382426463519459
S3,HS,G5,0.254950975679639,0.103077640640442,0.335410196624969,0.233987179135952,0.248243831746128,0.474078052645342
S3,HS,Noise,0.0503115294937452,0.294798660105503,0.572303459713464,0.0707106781186547,0.233853586673371,0.510514446416553
S3,HS,Natural,0.0734090518184841,0.252844923926812,0.527941495075186,0.075277265270908,0.243327625503832,0.518652099195598
S4,MS,G1,0.165075740192192,0.229945645751338,0.484510061815026,0.178185296812055,0.23953079134007,0.489131884055824
S4,MS,G5,0.278388218141501,0.21650635094611,0.415331193145904,0.0689202437604511,0.267628473821453,0.542908832125616
S4,MS,Noise,0.0892678553567856,0.208041462213666,0.484606799374503,0.0406970514902492,0.279116910988926,0.557141140107244
S4,MS,Natural,0.0641179468722378,0.24695366187022,0.523556215807922,0.0333333333333333,0.275504587580276,0.554025671286489
S4,LS,G1,0.0741619848709566,0.228855849826916,0.505470078244004,0.0632455532033675,0.251743917503482,0.52820450584977
S4,LS,G5,0.137840487520902,0.199060292373944,0.465295604965274,0.0474341649025257,0.265282867897646,0.542908832125616
S4,LS,Noise,0.101087833095779,0.208940781084019,0.483056673693678,0.0443705983732471,0.272316451945159,0.550085220670398
S4,LS,Natural,0.133956875316067,0.175079347090906,0.446778592941863,0.0586893895388633,0.24045674131628,0.518116246072679
S4,HS,G1,0.46341126442934,0.213014084041408,0.17958284996068,0.451109742745598,0.191376592090046,0.161245154965971
S4,HS,G5,0.518893052564784,0.242126000256065,0.0651920240520265,0.451940261539067,0.202792997906732,0.185067555233217
S4,HS,Noise,0.330648037949721,0.107310880156674,0.264486530847981,0.135612038551155,0.186957548657443,0.455813147024085
S4,HS,Natural,0.275731350734329,0.0789690516032143,0.304457623396828,0.213372392257709,0.214831975687461,0.450586038152291
S5,MS,G1,0.0273861278752584,0.278612634315101,0.557449549286749,0.0273861278752583,0.278612634315101,0.557449549286749
S5,MS,G5,0.146628782986152,0.239008368054342,0.498998997994986,0.0758287544405154,0.280846933399672,0.555202665699652
S5,MS,Noise,0.0608533072231904,0.286056157074096,0.562319415457087,0.0604669331122391,0.279899535548025,0.556130605163931
S5,MS,Natural,0.0527046276694729,0.280748008798717,0.557773351022717,0.0519080383413248,0.294368438827565,0.571717684798285
S5,LS,G1,0.0500000000000001,0.301039864469807,0.578791845139511,0.0524404424085077,0.293044365241852,0.570306934904355
S5,LS,G5,0.0670820393249937,0.27636027210871,0.551815186452856,0.0612372435695794,0.28831406486677,0.564579489531811
S5,LS,Noise,0.0457575130443078,0.273118563997397,0.550766511327622,0.0513870119777362,0.291252682391081,0.56856453019864
S5,LS,Natural,0.0414996653266291,0.281834269661366,0.559811476203274,0.0593950989373515,0.292949559556666,0.569527094273057
S5,HS,G1,0.0547722557505166,0.275907593226428,0.552720544217419,0.0273861278752583,0.271799558498538,0.550681396090335
S5,HS,G5,0.122474487139159,0.235849528301415,0.502493781056045,0.0570087712549567,0.24773978283675,0.525119034124645
S5,HS,Noise,0.0308727225880711,0.269287253690181,0.54802201141925,0.0445463242030136,0.280819114377921,0.558555614957007
S5,HS,Natural,0.0572518801243922,0.307792318148311,0.585187529296758,0.0502770104299945,0.287638855357045,0.564972959038257
S6,MS,G1,1.73777390727309e-16,0.279508497187474,0.559016994374947,0.0158113883008419,0.275454170416786,0.554752196931206
S6,MS,G5,0.0670820393249937,0.245203996704785,0.521536192416212,0.389230009120571,0.233719917850405,0.337638860322683
S6,MS,Noise,0.0462668888083044,0.260318314760986,0.538182705965177,0.105549159162923,0.202059706522602,0.476199144266346
S6,MS,Natural,0.0324893144826966,0.278413162204823,0.556975961978811,0.0828318242652612,0.226353950950963,0.501857660209657
S6,LS,G1,0.0273861278752583,0.285263036511918,0.564136508302733,0.0353553390593274,0.261007662722764,0.539675828623073
S6,LS,G5,0.0591607978309962,0.248243831746128,0.525357021462548,0.103682206766639,0.206458228220626,0.480364444979018
S6,LS,Noise,0.0355756236768943,0.266370277996626,0.544876706237292,0.0936249165553701,0.206193173989829,0.48219874014767
S6,LS,Natural,0.0273861278752582,0.270262218348527,0.549166034395185,0.0801040989379862,0.214961236815695,0.492188988092988
S6,HS,G1,0.221923410211722,0.145344418537486,0.386328875441637,0.387620948866286,0.125996031683542,0.194293592277254
S6,HS,G5,0.412916456441252,0.161632298752446,0.194935886896179,0.482441706323158,0.225554871372799,0.158902485820707
S6,HS,Noise,0.059028594765588,0.255654796551913,0.532432507459866,0.137670349022584,0.190927014851225,0.458479143473288
S6,HS,Natural,0.0505525029603437,0.263496784715783,0.54088405001031,0.156524758424985,0.138894444333338,0.4127145906475
S7,MS,G1,0.0387298334620742,0.251743917503482,0.530565735795292,0.0387298334620742,0.24924887161229,0.52820450584977
S7,MS,G5,0.0670820393249937,0.229401394939089,0.506951674225463,0.0547722557505167,0.261963737948595,0.538980519128475
S7,MS,Noise,0.0878564169540278,0.23894298483111,0.512560971982846,0.0617454451761424,0.243798072182698,0.52087666486415
S7,MS,Natural,0.0824957911384306,0.236143788588413,0.510854404133137,0.0570087712549569,0.241781581873668,0.519535048545011
S7,LS,G1,0.0316227766016838,0.267628473821453,0.546351535185909,0.0612372435695793,0.243669858620224,0.520816666399992
S7,LS,G5,0.0724568837309472,0.236378933071456,0.512591455254572,0.0474341649025257,0.258118189982806,0.535957087834465
S7,LS,Noise,0.0694847105484365,0.219694390005753,0.497948918062887,0.0518411033833193,0.245331408506942,0.523390389671037
S7,LS,Natural,0.0799305253885453,0.217785572422866,0.494694069321861,0.0552770798392567,0.232588095615881,0.511262055005932
S7,HS,G1,0.278388218141501,0.0661437827766148,0.295803989154981,0.306186217847897,0.103077640640441,0.289395922569756
S7,HS,G5,0.324807635378234,0.111242977306435,0.274772633280682,0.31264996401727,0.110113577727726,0.28766299727285
S7,HS,Noise,0.175490384351964,0.12317416531075,0.394711128548461,0.0907434570644077,0.208678880100503,0.484880784317135
S7,HS,Natural,0.152843420241472,0.158858777255495,0.428206855516246,0.126820082531645,0.183825098032523,0.455796007003133
S8,MS,G1,0.103682206766639,0.269490259564237,0.539212388581716,0.022360679774998,0.282621655221252,0.561693866799345
S8,MS,G5,0.0524404424085077,0.293044365241852,0.570306934904355,0.166583312489577,0.219943174479228,0.474605099003371
S8,MS,Noise,0.0704893608993584,0.312199855861594,0.588403560492287,0.0480884601541784,0.290688837074973,0.568275901301472
S8,MS,Natural,0.0816496580927727,0.313249102153542,0.588075958812578,0.045946829173634,0.267368867131368,0.545078995294362
S8,LS,G1,0.0316227766016838,0.294321253055229,0.573149195236284,0.0447213595499959,0.285263036511918,0.56302753041037
S8,LS,G5,0.0418330013267039,0.280401497856199,0.558345771005745,0.0806225774829855,0.228309001136618,0.503984126734166
S8,LS,Noise,0.0321130814466628,0.277995053912835,0.556579958316862,0.0771564968100548,0.305189490317082,0.580153535712746
S8,LS,Natural,0.0450308536203543,0.291809488841226,0.569673395708258,0.0491596040125087,0.269490259564237,0.546885118954002
S8,HS,G1,0.432145808726638,0.172843860174436,0.171026313764871,0.412613620715555,0.172119144780585,0.212720473861826
S8,HS,G5,0.428368999812078,0.163171688720807,0.161245154965971,0.547265931700485,0.271799558498538,0.0670820393249937
S8,HS,Noise,0.143287298809071,0.183456398089573,0.450589891142711,0.291735111016826,0.059555646247858,0.279704084703817
S8,HS,Natural,0.146723473847158,0.181620789314195,0.44798933519052,0.212459146399699,0.111492401335497,0.368744114830626
S9,MS,G1,0.05,0.246221445044903,0.524404424085076,0.0474341649025257,0.253229145242012,0.53127205836558
S9,MS,G5,0.0935414346693485,0.227760839478607,0.501248441394086,0.0741619848709566,0.236907154809643,0.512835256198323
S9,MS,Noise,0.0518411033833193,0.250374719171086,0.528145339845009,0.041268935048048,0.270676236489279,0.5487058638287
S9,MS,Natural,0.0679051626248779,0.242011248590731,0.518437824408846,0.10041580220928,0.210851448497119,0.484853929893667
S9,LS,G1,0.0353553390593273,0.270416345659799,0.548862460002504,0.0418330013267038,0.249749874874844,0.528441103624614
S9,LS,G5,0.0894427190999916,0.220510770711999,0.4954795656735,0.0632455532033677,0.239008368054342,0.516236379965612
S9,LS,Noise,0.0641044070247904,0.23594888217578,0.51330729100608,0.0498435050934422,0.257360399051602,0.535008761610499
S9,LS,Natural,0.066874675492463,0.228430636201792,0.5061016586506,0.0579750904364203,0.234135525805984,0.512374645916226
S9,HS,G1,0.135092560861063,0.252735039122002,0.51550945675128,0.0632455532033676,0.259084928160632,0.535256947642905
S9,HS,G5,0.186413518823072,0.207062792408487,0.455247185603602,0.088034084308295,0.236378933071456,0.510147037627388
