"","pairname","test stat","p"
"1","MS_grat-MS_noise","14.5","1.09896063804626e-07"
"2","MS_grat-MS_histeq","3","4.65661287307739e-09"
"3","MS_grat-MS_bandpass","13.5","4.37721610069275e-08"
"4","MS_grat-MS_broadband","1","9.31322574615479e-10"
"5","MS_noise-MS_histeq","191.5","0.800229713320732"
"6","MS_noise-MS_bandpass","334","0.000201612710952759"
"7","MS_noise-MS_broadband","176.5","0.715630829334259"
"8","MS_histeq-MS_bandpass","410.5","2.91690230369568e-06"
"9","MS_histeq-MS_broadband","189.5","0.73052054643631"
"10","MS_bandpass-MS_broadband","27","1.80155038833618e-05"
"11","HS_grat-HS_noise","8","1.11758708953857e-08"
"12","HS_grat-HS_histeq","0","4.65661287307739e-10"
"13","HS_grat-HS_bandpass","5","4.19095158576965e-09"
"14","HS_grat-HS_broadband","125","0.00815176544710994"
"15","HS_noise-HS_histeq","281.5","0.320408593863249"
"16","HS_noise-HS_bandpass","327.5","0.12144922465086"
"17","HS_noise-HS_broadband","455","8.00937414169312e-08"
"18","HS_histeq-HS_bandpass","261","0.80539652146399"
"19","HS_histeq-HS_broadband","462","9.31322574615479e-09"
"20","HS_bandpass-HS_broadband","507","1.9976869225502e-07"
